insult,date,comment,Not an Insult
1,20120618192155z,you fuck your dad.,Insult
0,20120528192215z,i really don't understand your point.  it seems that you are mixing apples and oranges.,Not an Insult
0,,"a majority of canadians can and has been wrong before now and will be again.

unless you're supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them's the breaks and we can always regard you as collateral damage like in wartime - and sorry, but the cheques in the mail.",Not an Insult
0,,"listen if you dont wanna get married to a man or a women dont do it. what would it bother you if gay people got married stay in your lane do you let them do them. and your god is so nice but quick to judg if your not like him, thought you wasnt suppose to judge people.",Insult
0,20120619094753z,"các bạn xuống đường biểu tình 2011 có ôn hoà không ? 
các ngư dân ngồi cuí đầu chiụ nhục có ôn hoà không ?
các nông dân giữ đất ở văn giang, cần thơ có ôn hoà không ?
.................
rốt cuộc được gì  thì chúng ta đã biết !
ai cũng yêu chuộng hoà bình, nhưng đôi khi hoà bình chỉ thật sự đến sau chiến tranh mà thôi.
không còn con đường nào chọn khác đâu, đừng mơ thêm nưã.",Not an Insult
0,20120620171226z,"@sdl ok, but i would hope they'd sign him to a one-year contract to start with. give him the chance to be reliable and productive, but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits.",Not an Insult
0,20120503012628z,yeah and where are you now?,Not an Insult
1,,shut the fuck up. you and the rest of your faggot friends should be burned at the stake,Insult
1,20120502173553z,either you are fake or extremely stupid...maybe both...,Not an Insult
1,20120620160512z,that you are an idiot who understands neither taxation nor women's health.,Insult
0,20120620015140z,"@jdstorm dont wish him injury but it happened on its own and i doubt he's injured, he looked embarrassed to me",Not an Insult
0,20120530044519z,"be careful,jimbo.og has a fork with your name on it.",Not an Insult
0,,@tonnyb  or they just don't pay attention,Not an Insult
0,,hmmm. perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can?? idk. stream of consciousnees thought after looking at her.,Not an Insult
0,,"@barrettmarson huh? her income was $21,912. her spending was $5,470. my math puts that at 24.9%.",Not an Insult
1,20120611090207z,for some reason u sound retarded. lol. damn. where u been negro,Insult
1,20120320162532z,"you with the 'racist' screen name

you are a pieceofshit..........",Not an Insult
0,,"oh! & cheating as well...1966 cup was a cheat fest, & you still dare to post that comment..shame on you lol",Not an Insult
1,20120320075347z,your such a dickhead...,Not an Insult
1,20120320203947z,your a retard go post your head up your #%&*,Insult
0,20120612051612z,"@eephusblue makes you want to say ""mike macwhogal?",Not an Insult
0,20120611234235z,http://www.youtube.com/watch?v=tlyllphkru4,Not an Insult
0,20120502215304z,and you know they've burned holes in all the carpeting.,Not an Insult
0,20120503031721z,you are a land creature. you would drown....,Not an Insult
0,,"to all those doom-and-gloomers, the chicken-littles who claim the sky is falling and that society is collapsing...canada has had gay marriage nationwide for years. where is the disaster? where is the collapse and the persecution you're shouting about? where is it? please, show us some examples because it's starting to look like your threats and fears and warnings are nothing but hot air.",Insult
0,20120612144331z,"craig, we have been saying from the start that this is a very entertaining show.  it awakens the horny little goth in me.  i met my boyfriend during the first season and one of the first thing we did was watch ahs at my house.  i know he likes me and all but to this day he is sure i am far creepier and kinkier than he could ever be.  thanks, american horror story.  sweet clam loves you.",Not an Insult
0,20120529025329z,strange you are talking about that when there were chelsea fans in here belittling the community shield,Not an Insult
0,20120612052926z,but how would you actually get the key out?,Not an Insult
0,20120528193950z,"oh cool, some more internet points for your collection!",Not an Insult
0,20120529230121z,"even though i think there are better coaches out there, i am glad del negro is keeping his job.  i never thought he got enough credit those years when he took those average chicago bulls teams he coached to the playoffs 2 years in a row",Not an Insult
0,20120611201838z,"russellpiano 
hmmmm...how can we spin obama honoring vietnam troops as something negative.answer: doesn't matter! look at our followers. they'll take anything.

_________________________________________________________________________________________
obama team:  ""hmmm, how can we make the liberal messiah look better in light of the revelations of his leaking classified information to the new york times?i know, lets have a bogus photo shoot at the viet nam memorial. that will make obama look like he cares about vets (but first we'll have to clear all the vets out of the immediate area because they can't be trusted).",Not an Insult
0,20120529115214z,"a good article, which, for all the good it will do, could have been delivered to a brick wall.",Not an Insult
0,,"head's up warning...another source of funding for media matters is peter lewis of the progessive insurance company. you know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and a perfectly round mouth...if you know what i mean.
if you have progressive auto insurance, just know that part of your premium is going to fund a progressive liberal organization hell bent on destroying our country and our free speech. their mission is to bring down hannity,beck,dobbs,lavin,limbaugh,boortz,etc. we must not let them win.",Not an Insult
0,20120620055647z,@sdnoriko lol as if capcom listens. watch them fuck this up too. i hope i am wrong. i love okami.,Insult
1,20120515132156z,"allinit123, your hypocrisy is sickening, you ignorant loser.",Insult
0,20120620011710z,fast & furious didn't work out like they planned did it?.............lololololololol,Not an Insult
0,20120530111709z,"mitt isn't the best candidate for president.......but, going against the worst candidate ever should help him tremendously.  lol 

obama is one and done......it could happen no other way.",Not an Insult
1,20120620161958z,i can't believe the stupid people on this site that have no idea what is going on.  you fools.  you are all useful idiots.  they are hiding the truth because you fools who protect him would look like the useful idiots you are.,Insult
1,20120609163743z,fucking behave then you prick!,Insult
0,20120619094846z,"the only ""other"" relevant fact is that he is destroying america!",Not an Insult
0,20120609175446z,you are a liar.,Not an Insult
1,20120620075045z,"is that it??  your sum total to any conversation is first abuse and then calling them a troll..   you are a typical socialist idiot.  keep up your non existent class warfare, it is as pointless as you.",Insult
0,20120619231647z,@beanstalk @briview welp then nbw right?,Not an Insult
0,20120620024445z,"good job, fellas. i didn't quite read the rules about a signature piece, but i guess that was as good as any. i found some great blogs to follow, and to share over at g+. if i'm not commenting on your blogs, it's because i always throw my two cents in when i post my share. add me on there if you are a googler. 
https://plus.google.com/109258118458627782001/posts. again, congratulations to the winners, and i hope we get the chance to submit something else. this was fucking fun.",Insult
0,,"i say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment... the lady had a kid 1 week ago. women aren't safe to have sex after child birth for at least 6 weeks. so even if this was consensual, it would have been wayyyyy too soon and hurt the lady. i am so glad the the baby is so young and will not remember this event happening in it's house and i hope the mother recovers quickly.",Insult
